country,unit,measure,source,year,value
Germany,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,
Greece,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,34.1
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,9.5
Romania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,25.8
Sweden,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,11.8
EU/EEA,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,19.8
Germany,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2020,
Greece,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2020,28.1
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2020,8.5
Romania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2020,25.2
Sweden,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2020,10.3
EU/EEA,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2020,16.4
Germany,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,
Greece,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,23.5
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,8.3
Romania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,25.7
Sweden,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,10.1
EU/EEA,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,16.4
Germany,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,
Greece,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,32.9
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,9.1
Romania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,27.6
Sweden,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,11.2
EU/EEA,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,19.3
Germany,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,13.3
Greece,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,28.5
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,9.6
Romania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,27.4
Sweden,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,
EU/EEA,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,19.9
